CATEGORY,SCRIPTS_FILE,CANONICAL_FILE,DIFF_LINES
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/_bybit_latest_wrapper.py,helper_scripts/maintenance_scripts/bybit_connector/_bybit_latest_wrapper.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_ai_cost_governance_contract_check.py,program_code/ai_agents/bybit_thought_gate/bybit_ai_cost_governance_contract_check.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_ai_cost_governance_final_audit.py,program_code/ai_agents/bybit_thought_gate/bybit_ai_cost_governance_final_audit.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_ai_cost_log.py,program_code/ai_agents/bybit_thought_gate/bybit_ai_cost_log.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_ai_cost_log_contract_check.py,program_code/ai_agents/bybit_thought_gate/bybit_ai_cost_log_contract_check.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_ai_governance_audit.py,program_code/ai_agents/bybit_thought_gate/bybit_ai_governance_audit.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_ai_governance_audit_contract_check.py,program_code/ai_agents/bybit_thought_gate/bybit_ai_governance_audit_contract_check.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_ai_governed_decision.py,program_code/ai_agents/bybit_thought_gate/bybit_ai_governed_decision.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_ai_governed_decision_contract_check.py,program_code/ai_agents/bybit_thought_gate/bybit_ai_governed_decision_contract_check.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_ai_invocation_attempt_builder.py,program_code/ai_agents/bybit_thought_gate/bybit_ai_invocation_attempt_builder.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_ai_invocation_attempt_contract_check.py,program_code/ai_agents/bybit_thought_gate/bybit_ai_invocation_attempt_contract_check.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_ai_prompt_prep_builder.py,program_code/ai_agents/bybit_thought_gate/bybit_ai_prompt_prep_builder.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_ai_prompt_prep_contract_check.py,program_code/ai_agents/bybit_thought_gate/bybit_ai_prompt_prep_contract_check.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_ai_prompt_prep_tighten.py,program_code/ai_agents/bybit_thought_gate/bybit_ai_prompt_prep_tighten.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_ai_request_envelope_builder.py,program_code/ai_agents/bybit_thought_gate/bybit_ai_request_envelope_builder.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_ai_request_envelope_contract_check.py,program_code/ai_agents/bybit_thought_gate/bybit_ai_request_envelope_contract_check.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_ai_response_check.py,program_code/ai_agents/bybit_thought_gate/bybit_ai_response_check.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_ai_response_check_builder.py,program_code/ai_agents/bybit_thought_gate/bybit_ai_response_check_builder.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_ai_response_check_contract_check.py,program_code/ai_agents/bybit_thought_gate/bybit_ai_response_check_contract_check.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_ai_route_selector_builder.py,program_code/ai_agents/bybit_thought_gate/bybit_ai_route_selector_builder.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_ai_route_selector_contract_check.py,program_code/ai_agents/bybit_thought_gate/bybit_ai_route_selector_contract_check.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_build_decision_packet.py,program_code/exchange_connectors/bybit_connector/readonly_observer_pipeline/bybit_build_decision_packet.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_build_observer_verdict.py,program_code/exchange_connectors/bybit_connector/readonly_observer_pipeline/bybit_build_observer_verdict.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_build_system_snapshot.py,program_code/exchange_connectors/bybit_connector/readonly_observer_pipeline/bybit_build_system_snapshot.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_build_ws_runtime_facts.py,program_code/exchange_connectors/bybit_connector/readonly_observer_pipeline/bybit_build_ws_runtime_facts.py,
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_acceptance_contract_check.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_acceptance_contract_check.py,106
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_acceptance_suite.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_acceptance_suite.py,281
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_contract_check.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_contract_check.py,138
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_extract_from_ws_jsonl.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_extract_from_ws_jsonl.py,136
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_final_audit.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_final_audit.py,215
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_final_audit_contract_check.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_final_audit_contract_check.py,106
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_fixture_generator.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_fixture_generator.py,127
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_fixture_pack_builder.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_fixture_pack_builder.py,206
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_fixture_pack_contract_check.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_fixture_pack_contract_check.py,143
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_ingestion_from_ws.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_ingestion_from_ws.py,147
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_ingestion_smoke.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_ingestion_smoke.py,148
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_negative_fixture_pack_builder.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_negative_fixture_pack_builder.py,129
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_negative_fixture_pack_contract_check.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_negative_fixture_pack_contract_check.py,129
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_negative_replay_contract_check.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_negative_replay_contract_check.py,129
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_negative_replay_harness.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_negative_replay_harness.py,176
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_normalizer.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_normalizer.py,268
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_regression_contract_check.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_regression_contract_check.py,104
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_regression_summary.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_regression_summary.py,157
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_replay_contract_check.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_replay_contract_check.py,156
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_replay_harness.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_replay_harness.py,251
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_runtime_contract_check.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_runtime_contract_check.py,112
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_runtime_facts.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_runtime_facts.py,126
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_state_contract_check.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_state_contract_check.py,142
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_state_resolver.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_state_resolver.py,196
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_validation_handoff.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_validation_handoff.py,157
DUPLICATE_MINOR_DIFF,program_code/exchange_connectors/bybit_connector/scripts/bybit_business_event_validation_handoff_contract_check.py,program_code/market_data_processor/bybit_business_events/bybit_business_event_validation_handoff_contract_check.py,107
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_compute_governor_contract_check.py,program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_contract_check.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_compute_governor_final_audit.py,program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_final_audit.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_compute_governor_gate.py,program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_gate.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_compute_governor_gate_contract_check.py,program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_gate_contract_check.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_compute_governor_policy.py,program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_policy.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_compute_governor_policy_contract_check.py,program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_policy_contract_check.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_compute_governor_runtime.py,program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_runtime.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_compute_governor_runtime_contract_check.py,program_code/ai_agents/bybit_thought_gate/bybit_compute_governor_runtime_contract_check.py,
WRAPPER,program_code/exchange_connectors/bybit_connector/scripts/bybit_decision_lease_adaptive_ttl.py,program_code/trade_executor/bybit_decision_lease/bybit_decision_lease_adaptive_ttl.py,
